StreetAddress,City,ZipCode,CountryFull
"Luebeckertordamm 57",Iphofen,97344,Germany
"Unter den Linden 62",Magdeburg,39029,Germany
"Konstanzer Strasse 41",Schaafheim,64850,Germany
"Pappelallee 35",Ehrenfriedersdorf,09424,Germany
"Michaelkirchstr. 66","Minden Innenstadt",32429,Germany
"Stresemannstr. 85",Wallerfangen,66795,Germany
"Holstenwall 61",Klostermansfeld,06305,Germany
"Albrechtstrasse 7",Kissing,86425,Germany
"Ellmenreichstrasse 58",Hollfeld,96139,Germany
"Reeperbahn 36",Althof,18209,Germany
"Jenaer Strasse 99","Wuppertal Cronenberg",42349,Germany
"Konstanzer Strasse 49","Bad Orb",63619,Germany
"Alt Reinickendorf 25",Altenmünster,86448,Germany
"Anhalter Strasse 62",Bechhofen,66894,Germany
"Stresemannstr. 98",Marquartstein,83247,Germany
"Koepenicker Str. 59",Reichenbach,73262,Germany
"Joachimstaler Str. 6",Heidenrod,65321,Germany
"Ruschestrasse 65",Parchim,19362,Germany
"Mohrenstrasse 73",Winterlingen,72474,Germany
"An Der Urania 45",Husum,25802,Germany
"Lietzenburger Straße 44",Nordhorn,48527,Germany
"Grolmanstraße 17","Bremen Habenhausen",28279,Germany
"Gotthardstrasse 77",Kirchheim,36275,Germany
"Rhinstrasse 34",München,80974,Germany
"Park Str. 21","Düsseldorf Stockum",40474,Germany
"Kieler Strasse 35",Waldkraiburg,84471,Germany
"Michaelkirchstr. 79",Obernkirchen,31683,Germany
"Knesebeckstrasse 68",Döttesfeld,56305,Germany
"Genslerstraße 3","Berlin Tempelhof",12103,Germany
"Neue Roßstr. 17",Fulda,36039,Germany
"Heinrich Heine Platz 93","Bad Langensalza",99942,Germany
"Jahnstrasse 50",Moosach,85665,Germany
"Kantstraße 47",Bauerbach,98617,Germany
"Paul-Nevermann-Platz 2",Schweinfurt,97421,Germany
"Gruenauer Strasse 94",Heinbockel,21726,Germany
"Brandenburgische Str 48","Oberhausen an der Nahe",55585,Germany
"Gotzkowskystrasse 32",Racksen,57612,Germany
"Hoheluftchaussee 80",Geithain,04641,Germany
"Rudolstaedter Strasse 18",Aschaffenburg,63704,Germany
"Unter den Linden 6",Magdeburg,39003,Germany
"Koenigstrasse 35",Belvedere,99425,Germany
"Lietzenburger Straße 3",Uelsen,49843,Germany
"Bayreuther Strasse 26","Reutlingen Gönningen",72770,Germany
"Eschenweg 74",Rudolstadt,07391,Germany
"Eichendorffstr. 67",Haiterbach,72221,Germany
"Anhalter Strasse 30",Neuleiningen,67271,Germany
"Koepenicker Str. 57",Welterod,56357,Germany
"Gruenauer Strasse 85",Heinbockel,21726,Germany
"Paderborner Strasse 77",Denklingen,86920,Germany
"Hoheluftchaussee 1",Steinburg,22964,Germany
"Neuer Jungfernstieg 83",Landshut,84026,Germany
"Marseiller Strasse 84",Reimlingen,86756,Germany
"Brandenburgische Strasse 26",Bischheim,67294,Germany
"Genslerstraße 51","Berlin Wedding",13347,Germany
"Brandenburgische Str 7",Oberwesel,55430,Germany
"Landsberger Allee 2",München,80605,Germany
"Eschenweg 56",Jena,07704,Germany
"Rudower Chaussee 24",Lübeck,23556,Germany
"Mellingburgredder 6",Herzogenaurach,91063,Germany
"Lange Strasse 71",Lindwedel,29690,Germany
"Sonnenallee 90",Augsburg,86159,Germany
"Ruschestrasse 15","Gleviner Burg",18273,Germany
"Neue Roßstr. 18","Trier Trier-Nord",54292,Germany
"Waßmannsdorfer Chaussee 50","Berlin Wittenau",13439,Germany
"Büsingstrasse 38",Haimhausen,85778,Germany
"Brandenburgische Straße 33","Berlin Niederschöneweide",12439,Germany
"Gruenauer Strasse 89",Engelschoff,21710,Germany
"Hochstrasse 14",Niebüll,25894,Germany
"Knesebeckstrasse 4",Leimbach,54673,Germany
"Nuernbergerstrasse 1",Großharrie,24625,Germany
"Jahnstrasse 11","Bad Feilnbach",83072,Germany
"Jahnstrasse 34","Bad Endorf",83090,Germany
"Rhinstrasse 75",München,81301,Germany
"Joachimstaler Str. 85",Patersberg,56348,Germany
"Grolmanstraße 36","Bremen Hohentor",28199,Germany
"Alt-Moabit 68",Achern,77855,Germany
"Charlottenstrasse 84",Dresden,01263,Germany
"Koenigstrasse 28",Blankenburg,38882,Germany
"Konstanzer Strasse 38",Karben,61184,Germany
"Potsdamer Platz 34",Weitnau,87478,Germany
"Wallstrasse 84",Mayschoß,53508,Germany
"Büsingstrasse 42",Zorneding,85601,Germany
"Knesebeckstrasse 33",Seifen,57632,Germany
